name,line,naptanId
Abbey Road,dlr,940GZZDLABR
Acton Central,london-overground,910GACTNCTL
Acton Main Line,tfl-rail,910GACTONML
Acton Town,"district, piccadilly",940GZZLUACT
Addington Village,tram,940GZZCRADV
Addiscombe,tram,940GZZCRADD
Aldgate East,"district, hammersmith-city",940GZZLUADE
Aldgate,"circle, metropolitan",940GZZLUALD
All Saints,dlr,940GZZDLALL
Alperton,piccadilly,940GZZLUALP
Amersham,metropolitan,940GZZLUAMS
Ampere Way,tram,940GZZCRAMP
Anerley,london-overground,910GANERLEY
Angel,northern,940GZZLUAGL
Archway,northern,940GZZLUACY
Arena,tram,940GZZCRARA
Arnos Grove,piccadilly,940GZZLUASG
Arsenal,piccadilly,940GZZLUASL
Avenue Road,tram,940GZZCRAVE
Baker Street,"bakerloo, circle, hammersmith-city, jubilee, metropolitan",940GZZLUBST
Balham,northern,940GZZLUBLM
Bank,dlr,940GZZDLBNK
Bank,"central, northern, waterloo-city",940GZZLUBNK
Barbican,"circle, hammersmith-city, metropolitan",940GZZLUBBN
Barking,london-overground,910GBARKING
Barking,"district, hammersmith-city",940GZZLUBKG
Barkingside,central,940GZZLUBKE
Barons Court,"district, piccadilly",940GZZLUBSC
Bayswater,"circle, district",940GZZLUBWT
Beckenham Junction,tram,940GZZCRBEK
Beckenham Road,tram,940GZZCRBRD
Beckton,dlr,940GZZDLBEC
Beckton Park,dlr,940GZZDLBPK
Becontree,district,940GZZLUBEC
Beddington Lane,tram,940GZZCRBED
Belgrave Walk,tram,940GZZCRBGV
Belsize Park,northern,940GZZLUBZP
Bermondsey,jubilee,940GZZLUBMY
Bethnal Green,london-overground,910GBTHNLGR
Bethnal Green,central,940GZZLUBLG
Birkbeck,tram,940GZZCRBIR
Blackfriars,"circle, district",940GZZLUBKF
Blackhorse Lane,tram,940GZZCRBLA
Blackhorse Road,london-overground,910GBLCHSRD
Blackhorse Road,victoria,940GZZLUBLR
Blackwall,dlr,940GZZDLBLA
Bond Street,"central, jubilee",940GZZLUBND
Borough,northern,940GZZLUBOR
Boston Manor,piccadilly,940GZZLUBOS
Bounds Green,piccadilly,940GZZLUBDS
Bow Church,dlr,940GZZDLBOW
Bow Road,"district, hammersmith-city",940GZZLUBWR
Brent Cross,northern,940GZZLUBTX
Brentwood,tfl-rail,910GBRTWOOD
Brixton,victoria,940GZZLUBXN
Brockley,london-overground,910GBROCKLY
Bromley-by-Bow,"district, hammersmith-city",940GZZLUBBB
Brondesbury Park,london-overground,910GBRBYPK
Brondesbury,london-overground,910GBRBY
Bruce Grove,london-overground,910GBRUCGRV
Buckhurst Hill,central,940GZZLUBKH
Burnham (Berks),tfl-rail,910GBNHAM
Burnt Oak,northern,940GZZLUBTK
Bush Hill Park,london-overground,910GBHILLPK
Bushey,london-overground,910GBUSHYDC
Caledonian Road & Barnsbury,london-overground,910GCLDNNRB
Caledonian Road,piccadilly,940GZZLUCAR
Cambridge Heath (London),london-overground,910GCAMHTH
Camden Road,london-overground,910GCMDNRD
Camden Town,northern,940GZZLUCTN
Canada Water,london-overground,910GCNDAW
Canada Water,jubilee,940GZZLUCWR
Canary Wharf,dlr,940GZZDLCAN
Canary Wharf,jubilee,940GZZLUCYF
Canning Town,dlr,940GZZDLCGT
Canning Town,jubilee,940GZZLUCGT
Cannon Street,"circle, district",940GZZLUCST
Canonbury,london-overground,910GCNNB
Canons Park,jubilee,940GZZLUCPK
Carpenders Park,london-overground,910GCRPNDPK
Centrale,tram,940GZZCRCTR
Chadwell Heath,tfl-rail,910GCHDWLHT
Chalfont & Latimer,metropolitan,940GZZLUCAL
Chalk Farm,northern,940GZZLUCFM
Chancery Lane,central,940GZZLUCHL
Charing Cross,"bakerloo, northern",940GZZLUCHX
Chesham,metropolitan,940GZZLUCSM
Cheshunt,london-overground,910GCHESHNT
Chigwell,central,940GZZLUCWL
Chingford,london-overground,910GCHINGFD
Chiswick Park,district,940GZZLUCWP
Chorleywood,metropolitan,940GZZLUCYD
Church Street,tram,940GZZCRCHR
Clapham Common,northern,940GZZLUCPC
Clapham High Street,london-overground,910GCLPHHS
Clapham Junction,london-overground,910GCLPHMJC
Clapham North,northern,940GZZLUCPN
Clapham South,northern,940GZZLUCPS
Clapton,london-overground,910GCLAPTON
Cockfosters,piccadilly,940GZZLUCKS
Colindale,northern,940GZZLUCND
Colliers Wood,northern,940GZZLUCSD
Coombe Lane,tram,940GZZCRCOO
Covent Garden,piccadilly,940GZZLUCGN
Crossharbour,dlr,940GZZDLCLA
Crouch Hill,london-overground,910GCROUCHH
Croxley,metropolitan,940GZZLUCXY
Crystal Palace,london-overground,910GCRYSTLP
Custom House (for ExCel),dlr,940GZZDLCUS
Cutty Sark (for Maritime Greenwich),dlr,940GZZDLCUT
Cyprus,dlr,940GZZDLCYP
Dagenham East,district,940GZZLUDGE
Dagenham Heathway,district,940GZZLUDGY
Dalston Junction,london-overground,910GDALS
Dalston Kingsland,london-overground,910GDALSKLD
Debden,central,940GZZLUDBN
Denmark Hill,london-overground,910GDENMRKH
Deptford Bridge,dlr,940GZZDLDEP
Devons Road,dlr,940GZZDLDEV
Dollis Hill,jubilee,940GZZLUDOH
Dundonald Road,tram,940GZZCRDDR
